experiment,dataset,seed,split_id,selection_data_id,code_version,classifier_refit,final_calibration_used_for_selection,final_test_used_for_selection,model,method,target_size,n_features,ranking_source,selection_seed,repetition,subset_frozen_before_final_calibration,phase8_primary_selected,tuning_n_removed,tuning_max_accuracy_loss,tuning_max_coverage_shortfall,tuning_efficiency_gain,tuning_conditional_violation,alpha,scaling,score,raps_lambda,raps_k_reg,subject_id,window_count,accuracy,coverage,mean_size,size_p90,all_features_accuracy,all_features_coverage,all_features_mean_size,all_features_size_p90,accuracy_difference_vs_all,coverage_difference_vs_all,mean_size_difference_vs_all,size_p90_difference_vs_all,mean_size_reduction_vs_all
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,small_neural_network,conformal_harm_one_shot,557,557,selection_train+tune_crossfit,43,-1,True,True,4.0,-0.0081125934519206,0.0176567736530033,0.0209823730342872,0.0660200049725217,0.1,base,aps,,,6,325,0.8369230769230769,0.7784615384615384,0.9815384615384616,1.0,0.8307692307692308,0.796923076923077,1.0123076923076924,2.0,0.006153846153846,-0.0184615384615385,-0.0307692307692307,-1.0,0.0307692307692307
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,small_neural_network,conformal_harm_one_shot,557,557,selection_train+tune_crossfit,43,-1,True,True,4.0,-0.0081125934519206,0.0176567736530033,0.0209823730342872,0.0660200049725217,0.1,base,aps,,,8,281,0.9750889679715302,0.9145907473309608,0.9644128113879004,1.0,0.9430604982206404,0.9074733096085408,1.01067615658363,1.0,0.0320284697508896,0.00711743772242,-0.0462633451957296,0.0,0.0462633451957296
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,small_neural_network,conformal_harm_one_shot,557,557,selection_train+tune_crossfit,43,-1,True,True,4.0,-0.0081125934519206,0.0176567736530033,0.0209823730342872,0.0660200049725217,0.1,base,aps,,,14,323,0.7801857585139319,0.7430340557275542,0.9721362229102168,1.0,0.7739938080495357,0.7430340557275542,0.9907120743034056,1.0,0.0061919504643962,0.0,-0.0185758513931888,0.0,0.0185758513931888
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,small_neural_network,conformal_harm_one_shot,557,557,selection_train+tune_crossfit,43,-1,True,True,4.0,-0.0081125934519206,0.0176567736530033,0.0209823730342872,0.0660200049725217,0.1,base,aps,,,19,360,0.925,0.8666666666666667,0.9611111111111112,1.0,0.9416666666666668,0.9055555555555556,1.022222222222222,1.0,-0.0166666666666666,-0.0388888888888888,-0.061111111111111,0.0,0.061111111111111
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,small_neural_network,conformal_harm_one_shot,557,557,selection_train+tune_crossfit,43,-1,True,True,4.0,-0.0081125934519206,0.0176567736530033,0.0209823730342872,0.0660200049725217,0.1,base,aps,,,25,409,0.9095354523227384,0.8875305623471883,1.0293398533007334,1.0,0.8997555012224939,0.8899755501222494,1.0904645476772616,2.0,0.0097799511002444,-0.002444987775061,-0.0611246943765282,-1.0,0.0611246943765282
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,small_neural_network,conformal_harm_recursive,557,557,selection_train+tune_crossfit,43,-1,True,True,4.0,-0.0156491686001547,0.0193995982641573,0.0402270237174529,0.0714468574550585,0.1,base,aps,,,6,325,0.8492307692307692,0.7938461538461539,0.9723076923076924,1.0,0.8307692307692308,0.796923076923077,1.0123076923076924,2.0,0.0184615384615384,-0.003076923076923,-0.04,-1.0,0.04
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,small_neural_network,conformal_harm_recursive,557,557,selection_train+tune_crossfit,43,-1,True,True,4.0,-0.0156491686001547,0.0193995982641573,0.0402270237174529,0.0714468574550585,0.1,base,aps,,,8,281,0.9786476868327402,0.9145907473309608,0.9537366548042704,1.0,0.9430604982206404,0.9074733096085408,1.01067615658363,1.0,0.0355871886120996,0.00711743772242,-0.0569395017793594,0.0,0.0569395017793594
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,small_neural_network,conformal_harm_recursive,557,557,selection_train+tune_crossfit,43,-1,True,True,4.0,-0.0156491686001547,0.0193995982641573,0.0402270237174529,0.0714468574550585,0.1,base,aps,,,14,323,0.7616099071207431,0.7368421052631579,0.9907120743034056,1.0,0.7739938080495357,0.7430340557275542,0.9907120743034056,1.0,-0.0123839009287926,-0.0061919504643963,0.0,0.0,-0.0
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,small_neural_network,conformal_harm_recursive,557,557,selection_train+tune_crossfit,43,-1,True,True,4.0,-0.0156491686001547,0.0193995982641573,0.0402270237174529,0.0714468574550585,0.1,base,aps,,,19,360,0.9472222222222222,0.9027777777777778,0.9944444444444444,1.0,0.9416666666666668,0.9055555555555556,1.022222222222222,1.0,0.0055555555555555,-0.0027777777777777,-0.0277777777777776,0.0,0.0277777777777776
phase8_human_activity_recognition_seed_43,human_activity_recognition,43,e1646e1921157eba,001c22ccafec2260,e4b3645,True,False,False,small_neural_network,conformal_harm_recursive,557,557,selection_train+tune_crossfit,43,-1,True,True,4.0,-0.0156491686001547,0.0193995982641573,0.0402270237174529,0.0714468574550585,0.1,base,aps,,,25,409,0.9070904645476772,0.8973105134474327,1.0268948655256724,1.0,0.8997555012224939,0.8899755501222494,1.0904645476772616,2.0,0.0073349633251833,0.0073349633251833,-0.0635696821515892,-1.0,0.0635696821515892
