dataset,model,method,stability_type,top_k,seed_pairs,spearman_mean,spearman_min,jaccard_mean,jaccard_min,kuncheva_mean,kuncheva_min
Covertype,LR,One-shot,progressive_removal_path,1,45,,,0.3555555555555555,0.0,0.3433962264150943,-0.0188679245283018
Covertype,LR,One-shot,progressive_removal_path,3,45,,,0.1933333333333333,0.0,0.2470588235294117,-0.0588235294117647
Covertype,LR,One-shot,progressive_removal_path,5,45,,,0.1314814814814814,0.0,0.1379591836734694,-0.1020408163265306
Covertype,LR,Recursive,progressive_removal_path,1,45,,,0.3555555555555555,0.0,0.3433962264150943,-0.0188679245283018
Covertype,LR,Recursive,progressive_removal_path,3,45,,,0.2222222222222222,0.0,0.2862745098039215,-0.0588235294117647
Covertype,LR,Recursive,progressive_removal_path,5,45,,,0.2464726631393297,0.1111111111111111,0.3093877551020408,0.1183673469387755
Covertype,Small NN,One-shot,progressive_removal_path,1,45,,,0.0,0.0,-0.0188679245283018,-0.0188679245283018
Covertype,Small NN,One-shot,progressive_removal_path,3,45,,,0.0266666666666666,0.0,-0.0117647058823529,-0.0588235294117647
Covertype,Small NN,One-shot,progressive_removal_path,5,45,,,0.0382716049382716,0.0,-0.0285714285714285,-0.1020408163265306
Covertype,Small NN,Recursive,progressive_removal_path,1,45,,,0.0,0.0,-0.0188679245283018,-0.0188679245283018
Covertype,Small NN,Recursive,progressive_removal_path,3,45,,,0.0555555555555555,0.0,0.0352941176470588,-0.0588235294117647
Covertype,Small NN,Recursive,progressive_removal_path,5,45,,,0.0712522045855379,0.0,0.030204081632653,-0.1020408163265306
Dry Bean,LR,One-shot,progressive_removal_path,1,190,,,0.0789473684210526,0.0,0.0175438596491228,-0.0666666666666666
Dry Bean,LR,One-shot,progressive_removal_path,3,190,,,0.1489473684210526,0.0,0.0520917678812415,-0.2307692307692307
Dry Bean,LR,One-shot,progressive_removal_path,5,190,,,0.2883458646616541,0.0,0.1624880382775119,-0.4545454545454545
Dry Bean,LR,Recursive,progressive_removal_path,1,190,,,0.0789473684210526,0.0,0.0175438596491228,-0.0666666666666666
Dry Bean,LR,Recursive,progressive_removal_path,3,190,,,0.1531578947368421,0.0,0.0585695006747638,-0.2307692307692307
Dry Bean,LR,Recursive,progressive_removal_path,5,190,,,0.2483082706766917,0.0,0.099712918660287,-0.4545454545454545
Dry Bean,Small NN,One-shot,progressive_removal_path,1,190,,,0.0473684210526315,0.0,-0.0161403508771929,-0.0666666666666666
Dry Bean,Small NN,One-shot,progressive_removal_path,3,190,,,0.161578947368421,0.0,0.0628879892037786,-0.2307692307692307
Dry Bean,Small NN,One-shot,progressive_removal_path,5,190,,,0.2280284043441938,0.0,0.0583732057416267,-0.4545454545454545
Dry Bean,Small NN,Recursive,progressive_removal_path,1,190,,,0.0473684210526315,0.0,-0.0161403508771929,-0.0666666666666666
Dry Bean,Small NN,Recursive,progressive_removal_path,3,190,,,0.1326315789473684,0.0,0.0218623481781376,-0.2307692307692307
Dry Bean,Small NN,Recursive,progressive_removal_path,5,190,,,0.2277986633249791,0.0,0.0614354066985645,-0.4545454545454545
HAR,LR,One-shot,progressive_removal_path,1,190,,,0.0894736842105263,0.0,0.0878477443609022,-0.0017857142857142
HAR,LR,One-shot,progressive_removal_path,3,190,,,0.0684210526315789,0.0,0.107508017355216,-0.0053763440860215
HAR,LR,One-shot,progressive_removal_path,5,190,,,0.0478696741854636,0.0,0.0759750094661113,-0.0089928057553956
HAR,LR,Recursive,progressive_removal_path,1,190,,,0.0894736842105263,0.0,0.0878477443609022,-0.0017857142857142
HAR,LR,Recursive,progressive_removal_path,3,190,,,0.0673684210526315,0.0,0.1039803810601773,-0.0053763440860215
HAR,LR,Recursive,progressive_removal_path,5,190,,,0.0497702589807852,0.0,0.0780992048466489,-0.0089928057553956
HAR,Small NN,One-shot,progressive_removal_path,1,190,,,0.0,0.0,-0.0017857142857142,-0.0017857142857142
HAR,Small NN,One-shot,progressive_removal_path,3,190,,,0.0042105263157894,0.0,0.0016789285040558,-0.0053763440860215
HAR,Small NN,One-shot,progressive_removal_path,5,190,,,0.0046783625730994,0.0,-0.0004960242332449,-0.0089928057553956
HAR,Small NN,Recursive,progressive_removal_path,1,190,,,0.0,0.0,-0.0017857142857142,-0.0017857142857142
HAR,Small NN,Recursive,progressive_removal_path,3,190,,,0.0031578947368421,0.0,-8.488964346349778e-05,-0.0053763440860215
HAR,Small NN,Recursive,progressive_removal_path,5,190,,,0.0046783625730994,0.0,-0.0004960242332449,-0.0089928057553956
