dataset,model,method,reference_method,metric,positive_direction,target_size_rule,target_size_min,target_size_max,n_pairs,mean_difference,median_difference,standard_deviation,standard_error,ci_lower,ci_upper,cohens_dz,rank_biserial,sign_flip_pvalue,wilcoxon_pvalue,positive_fraction,holm_sign_flip_pvalue,holm_wilcoxon_pvalue
Dry Bean,Small NN,One-shot,RFE,accuracy,proposed_higher,matched_within_seed,11,16,20,0.0026884089907448,0.0035257822829439,0.0038017424514392,0.0008500954554364,0.0009091387539731,0.0044676792275166,0.7071517929172377,0.7254901960784313,0.006500244140625,0.008588822102697,0.65,0.0260009765625,0.034355288410788
Dry Bean,Small NN,One-shot,Permutation,mean_size,proposed_smaller,matched_within_seed,11,16,20,0.0154693697664169,0.0099162626707801,0.019706557963249,0.0044065203208364,0.0062464167386672,0.0246923227941667,0.7849858811095268,0.8578947368421053,0.0003738403320312,0.0010378139715892,0.75,0.000762939453125,0.0037289141731423
Dry Bean,Small NN,One-shot,Permutation,accuracy,proposed_higher,matched_within_seed,11,16,20,0.0026663728514764,0.0035257822829439,0.0042380727241317,0.0009476618704746,0.0006828937611275,0.0046498519418254,0.6291474981762479,0.6666666666666666,0.0127716064453125,0.0130080748940643,0.65,0.0260009765625,0.034355288410788
Dry Bean,Small NN,One-shot,SHAP,mean_size,proposed_smaller,matched_within_seed,11,16,20,0.0146099603349493,0.0103569854561481,0.0171314582649249,0.0038307105234072,0.0065921910639828,0.0226277296059158,0.852814752195491,0.8888888888888888,0.0001907348632812,0.0009322285432855,0.75,0.000762939453125,0.0037289141731423
Dry Bean,Small NN,One-shot,SHAP,accuracy,proposed_higher,matched_within_seed,11,16,20,0.0024900837373292,0.002864698104892,0.0035265795531048,0.0007885671608803,0.0008395937010902,0.0041405737735682,0.7060903347939343,0.6842105263157895,0.0066070556640625,0.0108155561628859,0.7,0.0260009765625,0.034355288410788
Dry Bean,Small NN,One-shot,CRFE,mean_size,proposed_smaller,matched_within_seed,11,16,20,0.019435874834729,0.0156456588805643,0.0271732069921392,0.0060761138001095,0.0067184224937773,0.0321533271756806,0.7152587782646151,0.9157894736842104,0.0001258850097656,0.0004621632297181,0.8,0.0006294250488281,0.002772979378309
Dry Bean,Small NN,One-shot,CRFE,accuracy,proposed_higher,matched_within_seed,11,16,20,0.0031070956368444,0.002864698104892,0.0035531487629125,0.0007945082168041,0.0014441708276482,0.0047700204460406,0.8744625807047615,0.7894736842105263,0.0007438659667968,0.0025303168308898,0.8,0.0052070617675781,0.0177122178162288
Dry Bean,Small NN,Recursive,MI,mean_size,proposed_smaller,matched_within_seed,11,16,20,0.0337152930806523,0.0343763772587043,0.0247369514593423,0.0055313505019202,0.0221380434267698,0.0452925427345347,1.3629526312515443,0.9894736842105264,7.62939453125e-06,0.0001550957727957,0.9,7.62939453125e-05,0.0015485725743722
Dry Bean,Small NN,Recursive,MI,accuracy,proposed_higher,matched_within_seed,11,16,20,0.0097840458351697,0.0088144557073601,0.0085836497967625,0.0019193624440613,0.0057667740706214,0.013801317599718,1.1398468095541354,0.8789473684210526,0.0001068115234375,0.0007778397530102,0.75,0.0009613037109375,0.0070005577770925
Dry Bean,Small NN,Recursive,RFE,mean_size,proposed_smaller,matched_within_seed,11,16,20,0.0180255619215513,0.0167474658439841,0.0142214395667259,0.0031800105609104,0.0113697233242933,0.0246814005188093,1.2674920732867276,0.9789473684210528,1.1444091796875e-05,0.0001819073569158,0.9,9.1552734375e-05,0.0015485725743722
Dry Bean,Small NN,Recursive,RFE,accuracy,proposed_higher,matched_within_seed,11,16,20,0.0040105773468488,0.0033054208902599,0.0047915303393308,0.0010714187554996,0.0017680721192439,0.0062530825744538,0.8370138688110618,0.7526315789473684,0.0017242431640625,0.0040070364782641,0.7,0.010345458984375,0.0211069505252599
Dry Bean,Small NN,Recursive,Permutation,mean_size,proposed_smaller,matched_within_seed,11,16,20,0.014918466284707,0.0116791538122522,0.0129531899649539,0.0028964213287105,0.0088561867720146,0.0209807457973993,1.1517214157339086,0.9894736842105264,7.62939453125e-06,0.0001548572574372,0.9,7.62939453125e-05,0.0015485725743722
Dry Bean,Small NN,Recursive,Permutation,accuracy,proposed_higher,matched_within_seed,11,16,20,0.002974878801234,0.0022036139268399,0.0037091201172874,0.0008293844718966,0.0012389571512015,0.0047108004512665,0.8020443412896536,0.7631578947368421,0.0017433166503906,0.0035178250875433,0.7,0.010345458984375,0.0211069505252599
